Messages,Lang
даун какой-то,RUSSIAN
сам такой,RUSSIAN
?,[]
забайчены богом,RUSSIAN
FF,ENGLISH
варды блять поставь,RUSSIAN
FF,ENGLISH
?,[]
Не почувствовал,RUSSIAN
Я эту мортру,RUSSIAN
ТЫ БЕШЕНЫЙ? ,RUSSIAN
конченный сын шлюхи,RUSSIAN
g next,ENGLISH
G,ENGLISH
НЕСИТЕ ПО МИДУ ,RUSSIAN
ПОХУЙ) ,RUSSIAN
С АМОМ ЭТИМ НЕ ВЫЙГРАТЬ ,RUSSIAN
дай снести еблан,RUSSIAN
sosi hui 4mo,SPANISH
пон,RUSSIAN
бери за щеку как на лайне,RUSSIAN
4x2)),SPANISH
еблан,RUSSIAN
),[]
),[]
g gwp,ENGLISH
У вас мк,RUSSIAN
пиздец,RUSSIAN
у нас,RUSSIAN
в команде,RUSSIAN
Попались,RUSSIAN
ДА?,RUSSIAN
 а блять у нас,RUSSIAN
попущены за 2846,RUSSIAN
EZ,SPANISH
2137Y4271423,ENGLISH
is that cheat?,ENGLISH
?,[]
happy 5 vs 3 ? ,ENGLISH
stupid ,SPANISH
5v2,ENGLISH
tipping ,ENGLISH
gay as fk ,ENGLISH
gg,ENGLISH
_!_,[]
hahaha gahi ako,ENGLISH
aba unta to dex,SPANISH
gg,ENGLISH
:D,SPANISH
сыр!!!,RUSSIAN
end,ENGLISH
Че ррям,RUSSIAN
прям,RUSSIAN
Так выиграть,RUSSIAN
ХочешьЪ,RUSSIAN
на абадоне?,RUSSIAN
а кто не хочет?,RUSSIAN
next snosiye,ENGLISH
te*,SPANISH
по миду,RUSSIAN
gg,ENGLISH
去这里打野,CHINESE
???,[]
МБ ливнете ,RUSSIAN
?,[]
+,[]
или проиграйте с позором,RUSSIAN
Зач,RUSSIAN
новую старт ,RUSSIAN
время не тратить ,RUSSIAN
Не хочу в лп попасть,RUSSIAN
лол ,RUSSIAN
если че ,RUSSIAN
хаха,RUSSIAN
?,[]
можно лив,RUSSIAN
когда кто то лив,RUSSIAN
Никто еще не ливнул,RUSSIAN
гуля,RUSSIAN
А ты попробуй,RUSSIAN
все 3 лив,RUSSIAN
Проверь ливнули ли они,RUSSIAN
так не ,RUSSIAN
мне луз защитает ) ,RUSSIAN
а я так сладко трхнул хуска,RUSSIAN
Pon,SPANISH
заслужил победу,RUSSIAN
gg,ENGLISH
гг,RUSSIAN
how,ENGLISH
),[]
Gege,ENGLISH
ez riki,ENGLISH
黄金剑圣不过如此,CHINESE
изи,RUSSIAN
),[]
),[]
похороны,RUSSIAN
сдался?,RUSSIAN
У меня друг ,RUSSIAN
ПРосто пиздец,RUSSIAN
Идиот,RUSSIAN
а у меня нет друзей,RUSSIAN
мой друг ск,RUSSIAN
(,[]
максим зовут?,RUSSIAN
СНимал на камеру,RUSSIAN
Я кнричу,RUSSIAN
МЕНЯ БЬЕТ АНТИМАГ,RUSSIAN
Бегу 20 километров,RUSSIAN
Все снимают дружно,RUSSIAN
ne lomaY,SPANISH
PAGE,ENGLISH
结束了罪恶的一生,CHINESE
我有罪,CHINESE
shabi,SPANISH
蠢逼一群,CHINESE
gg,ENGLISH
gg,ENGLISH
GG,ENGLISH
end fast,ENGLISH
buy deso to push tower guy,ENGLISH
no def,ENGLISH
gift for u guys,ENGLISH
怎么敢的,CHINESE
送了，赶紧的,CHINESE
剑圣中路去速度,CHINESE
looser,ENGLISH
stupid,SPANISH
GG,ENGLISH
END TQ,ENGLISH
kill  me,ENGLISH
all  kill  me,ENGLISH
yes  all  kill  me,ENGLISH
gg,ENGLISH
CM,ENGLISH
TY GOOD SUP,ENGLISH
jd ,SPANISH
wo bu chu laile ,ENGLISH
直接推了，不浪费时间了,CHINESE
?>,[]
都叫你们推了。。。,CHINESE
不浪费时间,CHINESE
没人守了,CHINESE
这。、。,CHINESE
ez mid dk?,SPANISH
hahahahaha,SPANISH
GG,ENGLISH
иди нахуй чел ),RUSSIAN
больные,RUSSIAN
найс гемлей!,RUSSIAN
ты про болезнь говорить будешь?,RUSSIAN
ты под т2 лез,RUSSIAN
на 7ой,RUSSIAN
ты тинкера пикнул,RUSSIAN
один же...,RUSSIAN
жору закрой да,RUSSIAN
свою,RUSSIAN
а не 5,RUSSIAN
ПП,RUSSIAN
",,,,,,,/",[]
????????????????,[]
ну два газонюха,RUSSIAN
метовых,RUSSIAN
хуярят,RUSSIAN
че поделаешь,RUSSIAN
???????????,[]
?????????????,[]
блядская натура,RUSSIAN
по 2к,RUSSIAN
изи,RUSSIAN
и че ,RUSSIAN
а прост,RUSSIAN
ахахахаха ,RUSSIAN
GG WP ,ENGLISH
хорошая тима ,RUSSIAN
puck so bad,ENGLISH
u too good,ENGLISH
get good teammate,ENGLISH
not really,ENGLISH
first time see puck lose to qop in lane ,ENGLISH
yes,ENGLISH
nice puck,ENGLISH
герой дерьма,RUSSIAN
согл панго мусор,RUSSIAN
ну пиздец ,RUSSIAN
гг,RUSSIAN
?,[]
GG SOLO EZ,SPANISH
OFC,ENGLISH
MATI GOBLOK,ENGLISH
oni chaaann,SPANISH
agak lain omnimu mmg,ENGLISH
lebih goblok dari am mu,SPANISH
DARITADI AGAK LAIN,ENGLISH
gAK BAKAT CARRY LU,ENGLISH
why u dive void...,ENGLISH
free kill for arc,ENGLISH
u dive to arc god,ENGLISH
ward mu daritadi tolol ya ,SPANISH
divine belian emg tolol,ENGLISH
wkwkw pelahap mmr,ENGLISH
mmr kau kulahap,ENGLISH
omni no ga XD,SPANISH
he trash,ENGLISH
u guys know what to do,ENGLISH
VS,ENGLISH
U WERE PUCK,ENGLISH
SUCK MY DICK,ENGLISH
lol,SPANISH
u lost to me,ENGLISH
oowww,SPANISH
LOL 200MS,ENGLISH
last game,ENGLISH
win please,ENGLISH
HAHHA,SPANISH
party dw and omni,ENGLISH
haha,ENGLISH
es is good,ENGLISH
segitu aja kah dek,SPANISH
17-1 BOS,SPANISH
200ms,ENGLISH
mercy pliss,ENGLISH
ur not good ,ENGLISH
arc,SPANISH
think hes good ,ENGLISH
only es,ENGLISH
mamakmu not good,ENGLISH
hahahahahahahaahaha,ENGLISH
NOT GOOD,ENGLISH
NOT GOOD,ENGLISH
SORRY,ENGLISH
TALK PLEASE,ENGLISH
HEY,ENGLISH
HAHAHAHAHAHAHAHAHAHAHAHAHAA,ENGLISH
KID,ENGLISH
TALK PLEASE,ENGLISH
HAHAHA,SPANISH
EZ KID,SPANISH
eS GOD,ENGLISH
EZ MID,SPANISH
pudge,ENGLISH
),[]
gg,ENGLISH
gg ,ENGLISH
ебланы,RUSSIAN
ez,SPANISH
pudge loh,ENGLISH
haha,ENGLISH
haha,ENGLISH
wow,ENGLISH
HAHA,ENGLISH
haha,ENGLISH
haha,ENGLISH
tangina no naman ,ENGLISH
haha,ENGLISH
haha,ENGLISH
dc,ENGLISH
bobob ,ENGLISH
bobo sand,ENGLISH
ikaw din eh,ENGLISH
"""haha",ENGLISH
The BeeFeedder,ENGLISH
gg,ENGLISH
tatanga ,ENGLISH
ngek,SPANISH
haha,ENGLISH
yes yes yes,ENGLISH
trick youuuuuuuuuuuuuuuuuuuuuu,ENGLISH
EZZ MMR,ENGLISH
Free mmr,ENGLISH
GGWP,ENGLISH
пп,RUSSIAN
gg,ENGLISH
трон упал,RUSSIAN
EZ MID,SPANISH
у нас фотограф на спирите,RUSSIAN
end hahha,SPANISH
проебали  !,RUSSIAN
332?,[]
именно,RUSSIAN
прооебалиииии ,RUSSIAN
инвокер,RUSSIAN
ты даун?,RUSSIAN
 офк сносите,RUSSIAN
бездарные чурки в команде  ,RUSSIAN
это пизда,RUSSIAN
Кайф,RUSSIAN
GG EZ SOLO,SPANISH
xd,SPANISH
GG EZ,SPANISH
EZ,SPANISH
oe viper,ENGLISH
complicamela,SPANISH
juegate tu ti ,SPANISH
porfa,SPANISH
xd,SPANISH
izi hc,ENGLISH
ez,SPANISH
XDD,SPANISH
SIN MANA,SPANISH
facilito,SPANISH
EZ HC,SPANISH
ez viper,SPANISH
Ez,SPANISH
KG DE RISA,SPANISH
wish I could tip more,ENGLISH
end mid,ENGLISH
go straight,ENGLISH
my team cant play,ENGLISH
neither can you,ENGLISH
buy hammers,ENGLISH
sino uto uto bobo,SPANISH
baited,ENGLISH
noob,SPANISH
thanks for telling me its  warded,ENGLISH
ingay mo,ENGLISH
straight nyo na yan,ENGLISH
baigted,SPANISH
bobo,SPANISH
bobo nmaman non mag mid 0 8,SPANISH
salita bobo mag mid,SPANISH
rude,ENGLISH
laban,SPANISH
last clasj,ENGLISH
mga bobo,SPANISH
laban last clasj mga bobo,ENGLISH
no idea what it means,ENGLISH
but hope you mad,ENGLISH
its means youre noob,ENGLISH
lmao,ENGLISH
xd,SPANISH
lion come,ENGLISH
my stack was gone haha,ENGLISH
say ty,ENGLISH
gg,ENGLISH
end,ENGLISH
?,[]
ez,SPANISH
wow,ENGLISH
GGWP,ENGLISH
得 心态 有个炸了,CHINESE
你们快推,CHINESE
这把 队友 智商有问题,CHINESE
屠夫都咬住了 ,CHINESE
然后呢 当我不在场？,CHINESE
g,ENGLISH
стопиш зачем?,RUSSIAN
ГГ,RUSSIAN
изи,RUSSIAN
gg,ENGLISH
sniper pidor,ENGLISH
Пошел нахуй,RUSSIAN
сучка,RUSSIAN
дура,RUSSIAN
мне 20,RUSSIAN
ебанутый?,RUSSIAN
и ты серьезно считаешь что ты не малолетка?,RUSSIAN
"Ты че, пушок?",RUSSIAN
ну как бы да,RUSSIAN
Ты идиот,RUSSIAN
пиздец,RUSSIAN
будь ты человеком,RUSSIAN
ебаный хуй,RUSSIAN
слава богу смурф,RUSSIAN
с таким вин рейтом ))))),RUSSIAN
каким,RUSSIAN
Улетает мальчик в баню,RUSSIAN
Готовься у мамки деньги просить на новый,RUSSIAN
патруль пусть разбирается,RUSSIAN
пажылой нарута,RUSSIAN
ыы,RUSSIAN
зашел гавно помесить чел с 6к,RUSSIAN
"ыыы, малолетний уебан",RUSSIAN
ыы,RUSSIAN
пажылой наруты,RUSSIAN
аааа,RUSSIAN
еще и ребенок,RUSSIAN
расслабься уже,RUSSIAN
господи,RUSSIAN
я не смурф ау,RUSSIAN
ау,RUSSIAN
вы просто лоускильные,RUSSIAN
прекратите,RUSSIAN
хуйней маяться,RUSSIAN
ну вы слишком хуевые,RUSSIAN
вот и кажется вам,RUSSIAN
"Я сказал тебе, девочка, готовься просить у мамки денежки",RUSSIAN
тутутут,RUSSIAN
мальчик,RUSSIAN
я бы тебе по еблу два раза дал,RUSSIAN
ты бы успокоился,RUSSIAN
ты мне в сыновья годишься мальчик,RUSSIAN
"Пупок у тебя еще мхом не порос, по ебалу она бы мне дала",RUSSIAN
как ты разговариваешь,RUSSIAN
и тебе бы дал,RUSSIAN
по ебалу,RUSSIAN
говорю,RUSSIAN
"Ты че плесень ебаная, расстояние чувствуешь?",RUSSIAN
тебе бы ,RUSSIAN
дал,RUSSIAN
раза 3,RUSSIAN
я твоего кота ебал,RUSSIAN
скуфяра,RUSSIAN
ебаная,RUSSIAN
пизщдец вы типы  кончно,RUSSIAN
че лоускиллы,RUSSIAN
ебаные,RUSSIAN
дефать,RUSSIAN
в своем рейтинге играй,RUSSIAN
будете?,RUSSIAN
:??,[]
хуесос малолетний,RUSSIAN
Ты бы в подгузник обгадился от одной моей пощечины,RUSSIAN
ау,RUSSIAN
ДЕФАТь,RUSSIAN
БЫСТРЕЕ,RUSSIAN
бежать тварь,RUSSIAN
хахаха,RUSSIAN
хаахахах,RUSSIAN
ты где,RUSSIAN
платиновый,RUSSIAN
а че бы не поиздеваться да,RUSSIAN
покушал?уроки сделал?,RUSSIAN
я молча сидел ес че,RUSSIAN
"Скоро ты с бана приколишься, Никита ",RUSSIAN
теперь пора не в своем рейте катку зводить,RUSSIAN
пока ты ебало не открыл,RUSSIAN
а че бы не открыть то,RUSSIAN
че пять не даете,RUSSIAN
на хуй мне играть против хуесосов из рейтинга на две три позиции выше,RUSSIAN
злые какие,RUSSIAN
найс egg,RUSSIAN
хвыахаывхаыхва,RUSSIAN
egg,ENGLISH
gege,ENGLISH
соль,RUSSIAN
дада броу,RUSSIAN
has a streak of 69 successfully predicted wins.,ENGLISH
wow,ENGLISH
ZZ,ENGLISH
?,[]
LOL,SPANISH
?,[]
So dumb,SPANISH
?,[]
gg,ENGLISH
LOL,SPANISH
DIE,SPANISH
gg,ENGLISH
go end,SPANISH
quit pls,ENGLISH
lechrace quit arldy,ENGLISH
want to end already?,ENGLISH
boring game,ENGLISH
arent we ending it?,ENGLISH
can we enjoy the game?,ENGLISH
im not enjoying you guys are trash,ENGLISH
us against the word,ENGLISH
world,ENGLISH
TOO EZS,ENGLISH
lol,SPANISH
2vs5 ultra kill hahaha,ENGLISH
EZ GAME,ENGLISH
?,[]
GG EZ,SPANISH
EZ,SPANISH
lol noob 5,SPANISH
ultra kill,SPANISH
HAHA,ENGLISH
主要是我看错了,CHINESE
中推了，下一把,CHINESE
我赶紧在开一把,CHINESE
炸裂吗？,CHINESE
选错了没办法,CHINESE
直接中路呀,CHINESE
还有人在守,CHINESE
在刷一会,CHINESE
蛇棒加NEC,CHINESE
先知杀陨星锤的J啊,CHINESE
》。,[]
对不起哦,CHINESE
举报莱恩,CHINESE
帮你们举报了,CHINESE
真搞笑 不举报虚空举报莱恩,CHINESE
nima,SPANISH
你们下路不是3打2被打爆了吗,CHINESE
为啥举报虚空啊,CHINESE
去哪啊,CHINESE
网费很贵的  赶紧推,CHINESE
有人王菲不要钱啊,CHINESE
),[]
ИЗИ МИД КСТА,RUSSIAN
uu,SPANISH
GG,ENGLISH
спс бро,RUSSIAN
он в пати,RUSSIAN
щас зайдет,RUSSIAN
каком пати?,RUSSIAN
какое пати,RUSSIAN
мы не ходим на тусовки,RUSSIAN
ща у нас лесник ебаный,RUSSIAN
выйдет,RUSSIAN
и мы победим,RUSSIAN
у нас не лучше,RUSSIAN
вдвоем с шекером играем,RUSSIAN
АХАХАХ,RUSSIAN
АХАХА,RUSSIAN
мда,RUSSIAN
просто пидарасы,RUSSIAN
посыпались мальчишки,RUSSIAN
ВОУ ,RUSSIAN
ЩИТ,RUSSIAN
СИЛЬО ,RUSSIAN
ливни бро,RUSSIAN
ты 1,RUSSIAN
хочеш рампаге,RUSSIAN
УВОЛЕН,RUSSIAN
вы геи,RUSSIAN
педики,RUSSIAN
)),[]
"парни, заебись стратегия была",RUSSIAN
тип внатуре красиво,RUSSIAN
подьеб?,RUSSIAN
вы геи,RUSSIAN
"а как же ты , сладкий?",RUSSIAN
ez mid,SPANISH
 但凡是个人能有这操作？,CHINESE
基地？,CHINESE
快推了吧,CHINESE
你都不用砍 直接就可以斩,CHINESE
斩了我没智力了,CHINESE
他 血上来了,CHINESE
哈哈 大腿了,CHINESE
速度下一把 蓝猫好好玩 这把给你爽,CHINESE
再送你2波  让你起飞,CHINESE
只要你没有杀人马杀狗一样 你就和我说 ,CHINESE
中路真眼做一个 给你送钱,CHINESE
眼已经送到了 真眼去排,CHINESE
中路有司，马，人，马不杀来杀我？,CHINESE
我去陪司，马，玩，意，儿了,CHINESE
中路塔前2个假眼 300块 估计比我人头还值钱,CHINESE
同样位置  假眼来了,CHINESE
速度推 我这把只送蓝猫一个人 你们别k头 早点结束,CHINESE
希望你们下把也能遇到这3个其中一个,CHINESE
对面咋了,CHINESE
真没意思,CHINESE
举报一下NEC吧,CHINESE
关个下坡黑屋,CHINESE
说的好,CHINESE
他上吧和我打的,CHINESE
孤儿碰上了低能儿,CHINESE
人马开局就喷sa，说选的英雄不行，然后被我说了 来中路恶心我 我就送了,CHINESE
还行啊,CHINESE
哦 你是上把的小狗啊,CHINESE
没注意,CHINESE
？,[]
人马觉得自己强无敌 嘴臭  NEC觉得自己被502站在中路的,CHINESE
秀啊,CHINESE
你又不拆塔，怕啥,CHINESE
浪费时间,CHINESE
碰到了脑，残，人，马，上来自己妈就死了,CHINESE
上把我nec伤害全场10个人排第2 吃得伤害全场第一 ,CHINESE
这要求是有点高,CHINESE
哦，牛逼，但是你还是没吗,CHINESE
上把没这蠢才,CHINESE
有没有这唇蠢材你都没妈,CHINESE
不管之前多少把，你现在的行为就是没 ，麻,CHINESE
举报举报,CHINESE
小黑屋,CHINESE
我都不知道发生了什么事 反正中路是两个人占线 ,CHINESE
就是就是.举报NEC,CHINESE
给这司.马.人.马.一个举报 谢谢,CHINESE
人马后面来的  自己看,CHINESE
要举报也是举报人马 ,CHINESE
反正这三个我都举报了,CHINESE
好的,CHINESE
人马下去了 还来抢中 ,CHINESE
管我P事,CHINESE
管人家怎么来的，你还是没，麻,CHINESE
凭什么呢,CHINESE
你狠,CHINESE
东阳有你这样的大肥猪 真是东阳赤露,CHINESE
举报我的 那就是萨比,CHINESE
？,[]
у вас боты в команде?,RUSSIAN
это нейросеть,RUSSIAN
а не игроки,RUSSIAN
только мы с иновкером,RUSSIAN
из 2042,RUSSIAN
мне жаль,RUSSIAN
что у тебя такая команда,RUSSIAN
(,[]
пасиба,RUSSIAN
ток вокера ещё пожелей,RUSSIAN
нянняняня,RUSSIAN
спс за игру))),RUSSIAN
бу,RUSSIAN
AAAAAA,SPANISH
бегите,RUSSIAN
парни,RUSSIAN
убегайте,RUSSIAN
ok,ENGLISH
я пытался вам донести ,RUSSIAN
solo,SPANISH
((,[]
бывает,RUSSIAN
лучше ори КЛИИИИИНЗ,RUSSIAN
окейц,RUSSIAN
0/5/0 герой я,RUSSIAN
СЮДАААААААААААААААААААААААА,RUSSIAN
соло,RUSSIAN
дай,RUSSIAN
6,[]
иди сюду,RUSSIAN
сюда,RUSSIAN
спс,RUSSIAN
как медузу убить,RUSSIAN
не бей,RUSSIAN
у меня фарм,RUSSIAN
Фарм должен оставаться на первом месте,RUSSIAN
у меня спор,RUSSIAN
ты пахнешь фекалиями,RUSSIAN
с снайпером,RUSSIAN
спс,RUSSIAN
какой,RUSSIAN
ням ням,RUSSIAN
лох,RUSSIAN
мидас на 20,RUSSIAN
урааааааа,RUSSIAN
БЛЯЯЯ,RUSSIAN
фарм,RUSSIAN
ай,RUSSIAN
жаль вокер санстрайками мажет,RUSSIAN
снайпер,RUSSIAN
иди сюда,RUSSIAN
иновкер иди нахуй,RUSSIAN
оооооооооо,RUSSIAN
почти,RUSSIAN
инвокер,RUSSIAN
ты гений,RUSSIAN
а я гей,RUSSIAN
)),[]
БУ,RUSSIAN
JFJFJFJF,SPANISH
НАЙН,RUSSIAN
ШТЕФАН,RUSSIAN
О ФАРМ,RUSSIAN
СПСэ,RUSSIAN
+++,[]
НЕЕЕЕЕТ,RUSSIAN
МЕДВЕЕЕЕЕДЬ,RUSSIAN
суки,RUSSIAN
за что,RUSSIAN
я просто хотел сосиски поесть,RUSSIAN
ням,RUSSIAN
ням,RUSSIAN
\ue13d,SPANISH
инвокер рууск?,RUSSIAN
дА,RUSSIAN
он со мной,RUSSIAN
в пати,RUSSIAN
я тренюсь ,RUSSIAN
АААААА,RUSSIAN
О,RUSSIAN
фарм,RUSSIAN
а,RUSSIAN
а где,RUSSIAN
))),[]
ааааааАААААААААААА,RUSSIAN
ща чекай прокаст,RUSSIAN
готов?,RUSSIAN
+,[]
давай,RUSSIAN
ой,RUSSIAN
соси,RUSSIAN
бля,RUSSIAN
инфокер,RUSSIAN
не думал,RUSSIAN
Тильт,RUSSIAN
ахуел,RUSSIAN
зато 2 к получил,RUSSIAN
нехуй пиздить меня,RUSSIAN
мишка фреде,RUSSIAN
гандон,RUSSIAN
фреди фреди фазбер,RUSSIAN
суки,RUSSIAN
фреди фреди фазбер,RUSSIAN
за что((((,RUSSIAN
я просто хотел убит вокера ((((,RUSSIAN
я тренероюсь,RUSSIAN
парни,RUSSIAN
дайте на войде хроно,RUSSIAN
если не терпилы,RUSSIAN
кудап,RUSSIAN
я еду,RUSSIAN
на т3,RUSSIAN
иди на мид,RUSSIAN
упавший,RUSSIAN
красава,RUSSIAN
вот арк,RUSSIAN
легенда,RUSSIAN
остальные лохи,RUSSIAN
ЭЭЭЭ,RUSSIAN
я про врагов,RUSSIAN
ЭЭЭЭ,RUSSIAN
попал?,RUSSIAN
-,[]
еще ни разу,RUSSIAN
нинада дядя,RUSSIAN
НЯЯЯЯ,RUSSIAN
ам ам,RUSSIAN
Воид соло,RUSSIAN
арк авторитет,RUSSIAN
я гей,RUSSIAN
а я,RUSSIAN
нихуя,RUSSIAN
ну ладна,RUSSIAN
Хорошо,RUSSIAN
ggs,ENGLISH
Ggs,ENGLISH
GG,ENGLISH
we afk go mid end ,ENGLISH
we afk,ENGLISH
go mid,SPANISH
push mid,ENGLISH
nobody is playing go nextp ls,ENGLISH
stay afk garbarage,ENGLISH
AFK ((,ENGLISH
end ,ENGLISH
dont fight,ENGLISH
nioob,ENGLISH
))),[]
y midlane is wide open,ENGLISH
I push kreeps,ENGLISH
Creeps,ENGLISH
im losing to this guy,ENGLISH
fuck u gabe,ENGLISH
feeding,ENGLISH
first match of the day,ENGLISH
fuck it,ENGLISH
Ez,SPANISH
COMEBACK ,ENGLISH
),[]
ну ти ска в капждой жопе затичка,RUSSIAN
лион,RUSSIAN
секусуальная ориентация,RUSSIAN
как тинкер,RUSSIAN
report pugna griefing and gg,ENGLISH
waow,ENGLISH
i fucked ur mom,ENGLISH
daddy?,ENGLISH
is it you,ENGLISH
gaygay,ENGLISH
why u tilt ,ENGLISH
Rubick said ez top,ENGLISH
no,SPANISH
ez mid,SPANISH
я доел чипсы,RUSSIAN
вот и думайте головой,RUSSIAN
как вам 4ка бон флетчер?,RUSSIAN
красава,RUSSIAN
круто фидит,RUSSIAN
генирй,RUSSIAN
бону лайк он заслужил от вас,RUSSIAN
ам тоже,RUSSIAN
 соло,RUSSIAN
бон,RUSSIAN
ебать я чихнул,RUSSIAN
в крипов,RUSSIAN
сука,RUSSIAN
gg,ENGLISH
report slark,ENGLISH
AMANGAL BHAVA,SPANISH
gg,ENGLISH
Trashj,ENGLISH
2 12 7,[]
aa,ENGLISH
trash bro not you,ENGLISH
he has no itmes,ENGLISH
toxic dogs make game hard first pick offlane waever,ENGLISH
D,SPANISH
:)),[]
gg,ENGLISH
end it,ENGLISH
and pls report all magnus,ENGLISH
see why im not def ?,ENGLISH
Report magnus for greifing,ENGLISH
such a loser kid,ENGLISH
pls rep magnus,ENGLISH
ty,ENGLISH
gg,ENGLISH
Изи,RUSSIAN
ez magnus,SPANISH
crying for regen,ENGLISH
axe no bmail 26 mins:)),ENGLISH
изи,RUSSIAN
。,[]
自己剑圣 那么菜 还浑然不知,CHINESE
怪队友,CHINESE
JD,SPANISH
让推了,CHINESE
?,[]
:D,SPANISH
fF,ENGLISH
я все,RUSSIAN
PLZ,SPANISH
def,ENGLISH
EZ,SPANISH
соси,RUSSIAN
基地,CHINESE
这屠夫好惨 ,CHINESE
вы ебанутые?,RUSSIAN
гг,RUSSIAN
и такие 10 игр подряд,RUSSIAN
хз что случилсь,RUSSIAN
с подобром,RUSSIAN
подбором,RUSSIAN
вечный игнайт,RUSSIAN
пздц,RUSSIAN
бг,RUSSIAN
i will report nature,ENGLISH
gl next,ENGLISH
бг,RUSSIAN
180ping,ENGLISH
sad,SPANISH
quit,ENGLISH
quit,ENGLISH
quit,ENGLISH
gggg,SPANISH
ez bot,SPANISH
beautiful combo,ENGLISH
END,ENGLISH
ez bot,SPANISH
YEP,ENGLISH
LOL,SPANISH
baby food,ENGLISH
so ez bot,SPANISH
mga bobo,SPANISH
ikaw no?,ENGLISH
